top - 09:29:34 up 15 min,  1 user,  load average: 0.05, 0.12, 0.18
Tasks: 295 total,   1 running, 294 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  6.1 sy,  0.0 ni, 81.8 id, 12.1 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.7 total,   1010.4 free,   1257.8 used,   1880.8 buff/cache     
MiB Swap:   3771.0 total,   3771.0 free,      0.0 used.   2609.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     83 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/47-+
     84 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/48-+
     85 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-+
     86 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/50-+
     87 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/51-+
     88 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/52-+
     89 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/53-+
     90 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/54-+
     91 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/55-+
     92 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     93 root      20   0       0      0      0 S   0.0   0.0   0:00.10 scsi_eh+
     94 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     95 root      20   0       0      0      0 S   0.0   0.0   0:00.14 scsi_eh+
     96 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    100 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    101 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    102 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    104 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    111 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    113 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    128 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    177 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    178 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    189 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    190 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    191 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    192 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    193 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    194 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    195 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    196 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    197 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    198 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    199 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    200 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    201 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    202 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    203 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    204 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    205 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    206 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    207 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    208 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    209 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    210 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    211 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
